"DateTime","Txn#","Action","Asset","AssetType","Segment","Quantity","Price","NotionalValue","Status","StatusNote","Rationale","RowHash"
"2025-11-19T15:59:00Z",1126,"Buy","NASDAQ:CEG","Stock","Stability",6,359.73,2158.38,"","","Increase allocation","9712f1ab673fff62eac3e88250ebfd87f9ee841f67cb7e28aa28aa6e8eb09351"
"2025-11-18T17:24:00Z",1125,"Buy","NYSE:SA","Stock","Core",103,24.11,2483.33,"","","Close precautionary hedge","9369fb35ad32caf736f6dd9a47bf2b8e993703c4882ae98298e02db3fc4a2d3c"
"2025-11-18T17:19:00Z",1124,"Buy","NASDAQ:QQQ","Short Stock","",24,596.45,14314.800000000001,"","","Close precautionary hedge","cedcd1bf6ae8fb1c268e9a2d8194a7726c68746bcae0b16872aeafcf17fad661"
"2025-11-14T15:04:00Z",1123,"Sell","NASDAQ:ALAB","Stock","Growth",-9,149.16,-1342.44,"","","Decrease Allocation","39fc2457916adc966746bef06d71543ef796c11604edeb4bf8831764a79cd05b"
"2025-11-14T15:05:00Z",1122,"Sell","NASDAQ:TMDX","Stock","Growth",-16,113.85,-1821.6,"","","Decrease Allocation","93c3d2ffb75a80e8ec5307b56264727c8b5cd735b41e6c8c43dcf42e99031916"
"2025-11-14T15:06:00Z",1121,"Sell","NYSE:FOUR","Stock","Growth",-36,71.06,-2558.16,"","","Decrease Allocation","033c670985c4c830d6e2043d1330e40208542a916d0e3bbd8c5407766c94c114"
"2025-11-14T13:54:00Z",1120,"Sell","NASDAQ:QQQ","Short Stock","",-24,599.67,-14392.079999999998,"","","Precautionary hedge","47b6fb4dba03c671b1913ca8e1482b5baeccc066740e90982250ba679f211ee3"
"2025-11-13T15:14:00Z",1119,"Sell","NYSE:VST","Stock","Stability",-33,174.75,-5766.75,"","","Decrease Allocation","e4ab9c1fda023cf2b9b948759087e6d2bcf01a0269ea0068e6a537a1da8fb67f"
"2025-11-13T09:00:00Z",1118,"Buy","NYSEAMERICAN:ORLA","Stock","Core",350,12.07,4224.5,"","","Increase allocation","de5937f7c0cba86f36d725461be8599234160cc1ab989ed9ddcdde143daeae1b"
"2025-11-10T15:55:00Z",1117,"Sell","NYSE:UBER","Stock","Stability",-45,92.51,-4162.95,"","","Decrease Allocation","17ae61a4aacac7b62b494dfde567885363a7c320eee7a6b6bf1b7bbd6f46f0b9"
"2025-11-05T14:54:00Z",1116,"Buy","NASDAQ:QQQ","Short Stock","",24,621.33,14911.920000000002,"","","Close precautionary hedge","e0530289cfc8877418854654f316ba61dd54f0b1e7956ed07168b3bd2fd7f895"
"2025-11-04T12:40:00Z",1115,"Sell","NASDAQ:QQQ","Short Stock","",-24,623.58,-14965.920000000002,"","","Precautionary hedge","24594ef5ed9b9670172f49f6bedd045a214f27865aea6c8c0cc2964473808c0d"
"2025-11-04T12:26:00Z",1114,"Sell","NASDAQ:STX","Stock","Stability",-20,256.5,-5130,"","","Reduce allocation","16499de8a3c2c8eaf1c41241aab01f7febcd81c93b70e4f7053ad73566299f45"
"2025-10-31T15:52:00Z",1113,"Sell","NASDAQ:WDC","Stock","Stability",-15,143.34,-2150.1,"","","Decrease Allocation","403bf2557a63bd25f2214ff5a1aef2bf4dbbb395dc45da3a22d035f4ffe72adf"
"2025-10-31T15:42:00Z",1112,"Sell","NYSE:TEVA","Stock","Stability",-92,20.01,-1840.92,"","","Decrease Allocation","7d9670884bd09e0c89241812edc7e78f21a4f65baf9a186274b20fa17f04a5ca"
"2025-10-31T15:40:00Z",1111,"Sell","NASDAQ:NTRA","Stock","Growth",-10,197.82,-1978.1999999999998,"","","Decrease Allocation","559a8cd4c216b731f091af47b45ff43666a5484699df0d1fe23cef77e99ee3c4"
"2025-10-31T15:40:00Z",1110,"Buy","NYSE:LLY","Stock","Growth",2,850.02,1700.04,"","","Increase allocation","b4e6c3d3875dec54c59df986d3decb459626576db8036f878f74f64a0c3d8c16"
"2025-10-31T15:37:00Z",1109,"Buy","NASDAQ:CLPT","Stock","Growth",50,24.08,1204,"","","Increase allocation","394df596dac989a01a7afa3fca95f476f93d9749269b68cd6b21f498514badb2"
"2025-10-28T15:18:00Z",1108,"Buy","NYSE:AEM","Stock","Core",55,155.16,8533.8,"","","Increase allocation","4727b5a56727cbbc9ee80151db01e9e79c3d8d4568f3937efe31222e0f449fe5"
"2025-10-24T10:30:00Z",1107,"Sell","NYSE:NEM","Stock","Core",-100,85.01,-8501,"","","Retroactive entry to close allocation for 1025-10-24","4fb89ac81082b00baea830ab4dc133090b51941d701582af9fe9ba914ca522cf"
"2025-10-22T08:33:00Z",1106,"Buy","NYSE:NEM","Stock","Core",100,85.05,8505,"","","New allocation","3990de5d2e900f2229ed78396d471d8abdb53c7ffbb709a81632d5dc4c9848b8"
"2025-11-21T12:40:00Z",1129,"Buy","NASDAQ:NTRA","Stock","Growth",20,185.05,3701,"","Txn#1105 Corrected Price","Increase allocation","53536beb259e37860819aebbc6207afe197c8f8395a0050a8b84069ceb014765"
"2025-10-21T08:33:00Z",1105,"Buy","NASDAQ:NTRA","Stock","Growth",20,85.05,1701,"Corrected","Txn#1129 Correcting price","Increase allocation","42a05bab59dbc912701c08bd2d00d01d87b2464ccd3e5bdf60fe217f2aed6547"
"2025-10-21T14:31:00Z",1105,"Buy","NASDAQ:NTRA","Stock","Growth",20,188.54,3770.7999999999997,"","","Increase allocation","44fc2dbf8a29ba8d97b74e40a00b9baf37a4b8f4c4a0df2a14f335df7a41cbe5"
"2025-10-21T14:30:00Z",1104,"Buy","NASDAQ:MELI","Stock","Stability",1,2095.01,2095.01,"","","Increase allocation","4c1a2bac63d9146efc869ae24fa53f32a6a7cee67b042dc716bb6fe7b6a47fef"
"2025-10-21T11:44:00Z",1103,"Buy","NYSE:LLY","Stock","Stability",3,808.77,2426.31,"","","Increase allocation","8644040229c263f1e2083238e24eddac7cb06ce6807b77badec1e19c77ded0c0"
"2025-10-21T11:39:00Z",1102,"Buy","NASDAQ:IBKR","Stock","Stability",60,66.65,3999.0000000000005,"","","Increase allocation","97e0f2603542476311a55c88318c68c0efcc5ff641e1f6c06f7980c24b11f7ae"
"2025-10-21T11:34:00Z",1101,"Buy","NASDAQ:APP","Stock","Growth",5,568,2840,"","","Increase allocation","8e0bd800503cd2494ca336dbcc58c73fad184a87e502ddddbd6a9df13ad15d84"
"2025-10-20T13:40:00Z",1100,"Sell","NYSE:PAAS","Stock","Core",-27,39.01,-1053.27,"","","Close allocation","cc6dfa7131d247c69159f0a8ebe27e4c4f0165ab13072a27c5a1225fa7e73968"
"2025-10-17T18:12:00Z",1099,"Sell","NYSE:HL","Stock","Core",-590,13.84,-8165.6,"","","Close allocation","9bcc314e0c4213a4ba6a167be8c23481be44fd31c360bd4ce462a0c805e620bf"
"2025-10-16T16:17:00Z",1098,"Buy","NASDAQ:NTRA","Stock","Growth",15,180.24,2703.6000000000004,"","","Increase allocation","245b1c925a5665b921bcf4f881fbd19912fe73cc7acc728827cc19990223d25c"
"2025-10-16T16:10:00Z",1097,"Sell","NASDAQ:NBIS","Stock","Growth",-30,124.01,-3720.3,"","","Decrease Allocation","0d96aa40ce0c6e8cfad689e56f515f55d2abe41a7e53298998783445c719c15e"
"2025-10-16T16:00:00Z",1096,"Sell","NYSEAMERICAN:ORLA","Stock","Core",-700,13.78,-9646,"","","Decrease Allocation","2c263f300e9555e0e2d76434b9c54c82abee1e43bd5e68e4411625c58fd1d524"
"2025-10-16T15:32:00Z",1095,"Sell","NYSE:UBER","Stock","Stability",-20,92.58,-1851.6,"","","Reduce allocation","19df4f265108c4a636406e1b85dd397e2c7f9289571dd66807dbbbbc361d86d6"
"2025-10-16T15:15:25Z",1094,"Sell","NASDAQ:MELI","Stock","Stability",-2,2041.28,-4082.56,"","","Reduce allocation","77e36d7f8fe8f23abec560e859f80ef7747e7c8a22f7f4e093deec222b21a655"
"2025-10-16T10:15:00Z",1093,"Buy","NASDAQ:WDC","Stock","Stability",20,121.69,2433.8,"","","New allocation","f19d6c9724dcaea0aab86e205f5581b54e522c80446a6f1edbbfc3f1d56a6292"
"2025-10-16T10:11:00Z",1092,"Sell","NASDAQ:APP","Stock","Growth",-5,600.93,-3004.6499999999996,"","","Reduce allocation","8777823040f79f1b9ca3f2d11b5a61d9c0196520a40baa967e7629b35210e3c8"
"2025-10-16T10:05:00Z",1091,"Buy","NYSE:SE","Stock","Stability",22,168.42,3705.24,"","","Increase allocation","a137be263f63c3d892f4e048ee39755c83ad1343cb05fd6376fe02d36c850533"
"2025-10-14T15:23:00Z",1090,"Sell","NYSE:SMR","Stock","Growth",-93,43.33,-4029.69,"","Txn#1089 showed quantity incorrectly as plus 93 instead of minus 93 for a sale.","Close allocation","2d97e2a3657a55dcf46f6a7f58d5c61161229e9800447d094b11f53ef32ec2f6"
"2025-10-14T15:23:00Z",1089,"Sell","NYSE:SMR","Stock","Growth",93,43.33,4029.69,"Corrected","Txn#1090 corrects quantity to minus 93 for a sale.","Close allocation","d7e2fdda610606220c6b254a2ad3cae569a4e930c8301af6e4e93f6040b640a1"
"2025-10-14T14:55:00Z",1088,"Buy","NASDAQ:CEG","Stock","Stability",15,374,5610,"","","New allocation","ff46183cab700d35383a01716f870d667cafc5ab60ca2ede86f9812cbddfac69"
"2025-10-10T09:21:00Z",1087,"Buy","NYSEARCA:GDX","Short Stock","",150,75.89,11383.5,"","","Close precautionary hedge against potential dollar rally","163e2f147f9a2791db1e72a7322826ea2bfbc6140292cb1ebe8cf3746605b314"
"2025-10-09T10:20:00Z",1086,"Sell","NYSEARCA:GDX","Short Stock","",-150,78.92,-11838,"","","Precautionary hedge against potential dollar rally","61b2ae22516b8530becf64f95d8e18049f7851b2e0db0ecf96b54e1bd81a1a1b"
"2025-10-08T12:56:00Z",1085,"Buy","NASDAQ:STX","Stock","Stability",20,223.99,4479.8,"","","Increase Allocation","29453388a5817062c840277ca27a7dbbb63b3c2ef6c4900c8f91eb59d5905a9d"
"2025-10-07T10:53:00Z",1084,"Buy","NASDAQ:STX","Stock","Stability",20,244.04,4880.8,"","","Increase Allocation","0d349bb62e8e78816d27bd60be62d6983d9de7bbb803dbac2e9222a63bf97b72"
"2025-10-02T12:05:00Z",1083,"Sell","NYSE:RDDT","Stock","Growth",-6,207.7,-1246.1999999999998,"","","Close allocation","b2a1d7ef7cd8bd321efb3fdd110872f3d51c623f4a25cbfd3d06ba4c88364898"
"2025-10-01T13:02:00Z",1082,"Buy","NYSEAMERICAN:ORLA","Stock","Core",400,10.95,4380,"","","Increase Allocation","2c46396fce73fb17d07f870ed32761de6742d9b6ecfad550c45dd62418f56419"
"2025-10-01T11:14:00Z",1081,"Buy","NASDAQ:APP","Stock","Growth",4,720.9,2883.6,"","","Increase Allocation","598d34d49775f661253ebcd31fc0029566cc47fc33dc685998d75a7308b6fcab"
"2025-10-01T10:59:00Z",1080,"Sell","OTCMKTS:HESAY","Stock","Stability",-3,243.39,-730.17,"","Txn#1079 showed incorrectly +3  instead of -3 quantity","Close allocation","1734a2e6c4e5a1f02a4fca76536a4b4d553e505f2590357ab8b5875f6fff9fda"
"2025-09-30T14:03:00Z",1079,"Sell","OTCMKTS:HESAY","Stock","Stability",3,243.39,730.17,"Corrected","Txn#1080: correcting sell quantity to -3 from +3.","Close allocation","4fb8c8ac0d5042f2402beb9c8f742fd70e61abe3d34e053c0ed01d3d6bfc3cfa"
"2025-09-30T14:03:00Z",1078,"Buy","NYSE:LLY","Stock","Stability",3,734.55,2203.6499999999996,"","","New allocation","20931e767679402d8bc44d171af68d052f02d590b387c483974dcc97b2a020c4"
"2025-09-30T13:38:00Z",1077,"Sell","NASDAQ:STX","Stock","Stability",-9,232.16,-2089.44,"","","Reduce allocation","8bece21d957b178b022eaa5f7b9de95480630866b61f7a8bbe72d603bc9ecd96"
"2025-09-30T13:13:00Z",1076,"Sell","NASDAQ:STX","Stock","Stability",-20,228.51,-4570.2,"","","Reduce allocation","2c8d0b7374701b22d6d03e38e9a89c921b83401919d7a7bc5ce82769507312a7"
"2025-09-26T14:05:00Z",1075,"Buy","NASDAQ:APP","Stock","Growth",3,661.37,1984.1100000000001,"","Txn#1074 showed wrong Asset Ticker","Increase Allocation","2808f5f97d28fc43d9b33749876c95dcd400a355282dce2a01eac46c7523bfb9"
"2025-09-26T14:05:00Z",1074,"Buy","NYSE:TEVA","Stock","Growth",3,661.37,1984.1100000000001,"Corrected","Txn#1075 Asset: Correct Ticker NASDAQ:APP","Increase Allocation","4767842211688627f967527530dc684a1bbb4bc6352062c87c3179df71c83ac8"
"2025-09-26T13:46:00Z",1073,"Buy","NYSE:HL","Stock","Core",200,11.6,2320,"","","Increase Allocation","c379ff767df975ac1c23aa0c9d10ab4325ca67ee8fc2b05cda933f56aa0bbcda"
"2025-09-26T13:40:00Z",1072,"Buy","NASDAQ:CLPT","Stock","Growth",100,19.39,1939,"","","Increase Allocation","7323959acde483d0fb37acd4170ac3ffea8ab832559cd2a04ae0244249682ce3"
"2025-09-26T13:34:00Z",1071,"Buy","NYSE:TEVA","Stock","Stability",170,18.41,3129.7,"","","Increase Allocation","ec6b63cc41e9d23ae264228e8142a263c20f8536358fdd31948eaa1267b7841c"
"2025-09-25T19:12:00Z",1070,"Buy","NASDAQ:NBIS","Stock","Growth",15,109.58,1643.7,"","","Increase Allocation","99aff8e3a7ef2b7e615aca518c957640dc7d4aa73eebf4e80ad9c62a1b751bbe"
"2025-09-25T19:10:00Z",1069,"Buy","NYSE:HL","Stock","Core",200,11.66,2332,"","","Increase Allocation","ee17aa5f59655b1b25b76148ed84b95c2c5f4dcc8a0bfc08902729ec98705ff9"
"2025-09-25T19:09:00Z",1068,"Buy","NASDAQ:CLPT","Stock","Growth",100,19.92,1992.0000000000002,"","","New allocation","53cbc0cef8f8a9e6eb8b0a3f5cb0c4a050ca6162ebfdea68a45cddcf9557c04a"
"2025-09-23T15:01:00Z",1067,"Sell","NYSE:PAAS","Stock","Core",-260,38.07,-9898.2,"","","Reduce allocation","e6516ba66bed0be2d925217a03fbecb0694c99f9ce210a401fc8ac7d8048e995"
"2025-09-23T15:00:00Z",1066,"Sell","NYSE:HL","Stock","Core",-390,11.2,-4368,"","","Reduce allocation","393f428f4b24ce6dd96a5be08742f612f3a49cb9a94dece9b9309f709d710504"
"2025-09-23T14:59:00Z",1065,"Sell","NYSE:AEM","Stock","Core",-20,162.39,-3247.8,"","","Reduce allocation","03a9fa2024166c476e61f561a6ab091cc62b9df74020cfad26b33fd8b046b9d9"
"2025-09-18T15:10:00Z",1064,"Buy","NASDAQ:QQQ","Short Stock","",10,597.16,5971.599999999999,"","Txn#1062 Price was incorrect","Close precautionary hedge against potential NDX decline","20fe38a3a5d08bb99b31ccbb65196d8da954098d791ef4066f043127da5796ff"
"2025-09-18T14:19:22Z",1063,"Buy","NASDAQ:APP","Stock","Growth",2,620.97,1241.94,"","","Increase allocation","8d96cf3b1b341c6e059b6361880b1b6d95c77ffbe911ac04ca8bce9550a9707f"
"2025-09-18T15:10:00Z",1062,"Buy","NASDAQ:QQQ","Short Stock","",10,581.81,5818.099999999999,"Corrected","Txn#1064 Price corrected","Close precautionary hedge against potential NDX decline","59e4387b1fdc8be65723ddf39e44ebb17935ea54f1fc626c807d53a5b1a9bc85"
"2025-09-16T14:25:00Z",1061,"Sell","NASDAQ:PRCH","Stock","Growth",-221,17.37,-3838.7700000000004,"","","Reduce allocation","0655abd2e409535b6e4290dd9a75336b36c2e0ea2c9ba95647d09e4b961cdb2f"
"2025-09-16T14:17:00Z",1060,"Sell","NASDAQ:APP","Stock","Growth",-9,593.89,-5345.01,"","","Reduce allocation","bb156e0b26710346629e12105600bf3100ca6bc09973d1692d0928668dca6aa0"
"2025-09-16T14:09:00Z",1059,"Sell","NYSE:HL","Stock","Core",-587,11.66,-6844.42,"","","Reduce allocation","a6c1152f8cb81004f47c8bc5a52b507cfe13af27e91585fd82284c1dd066d59d"
"2025-09-16T13:51:00Z",1058,"Sell","NASDAQ:STX","Stock","Stability",-30,213.69,-6410.7,"","","Reduce allocation","985dc87e62077c287e9e712dde14a443c791b5438718205c610940b5875682c1"
"2025-09-16T13:47:00Z",1057,"Buy","NASDAQ:IBKR","Stock","Stability",60,62.18,3730.8,"","","New allocation","f794bf4bc0e5d2e384c0ac2f4a1b9914b39ed34d03ca70bd8a5a0b655dea72b8"
"2025-09-15T15:09:00Z",1056,"Buy","NASDAQ:ENTG","Stock","Growth",40,88.99,3559.6,"","","New allocation","fad0ae35e757b17e99a1e2790250e014795d9aa406a1e0c43c95ccd2729d5a3d"
"2025-09-10T16:25:00Z",1055,"Buy","NASDAQ:QQQ","Short Stock","",10,581.81,5818.099999999999,"","","Decrease precautionary hedge against potential NDX decline","857ce35bca39e964048621c15588f38f5d2b3438e8fb732b33a7dc4318e16822"
"2025-09-10T12:30:00Z",1054,"Sell","NASDAQ:APP","Stock","Growth",-10,560.15,-5601.5,"","","Decrease allocation","837d90196994fc2941f3396748799238535ea71fd6ff2775503e6cd5cdc736d5"
"2025-09-09T14:07:00Z",1053,"Buy","NASDAQ:TMDX","Stock","Growth",18,109.11,1963.98,"","","Increase allocation","becc6c70feb8e48b6701a7b40b958efe326da2eaecca94bc34948d8d92f8d096"
"2025-09-09T13:48:00Z",1052,"Buy","NASDAQ:NBIS","Stock","Growth",20,89.82,1796.3999999999999,"","","New allocation","68d9a8f9fe45a155cccb834d0240b27d57b6a0cc8137466569fae5d5ef6fb6bc"
"2025-09-09T13:40:00Z",1051,"Sell","NASDAQ:VRNA","Stock","Growth",-62,106.28,-6589.36,"","","Closing allocation","a63ffc541ea95860708aa2bc587086d8b26450ac1fe93ed4ff279153c8083ab7"
"2025-09-09T10:36:00Z",1050,"Buy","NYSE:FOUR","Stock","Growth",36,87.42,3147.12,"","","Increase allocation","ed5fbba4c7a29a727d70355e67bd6e5eb774aff77bf9f226bbc7b632d8387d78"
"2025-09-04T15:01:00Z",1049,"Sell","NYSE:TSM","Stock","Stability",-5,232.51,-1162.55,"","Txn#1034 Date/Time corrected","Closing allocation","eeb8f353b2156aa68a9edd02f4f72ee38cda3f5804799445e8e164869bb4d01f"
"2025-09-02T23:59:00Z","","Dividend","NYSE:HL","Stock","",1167,0.00375,4.37625,"","","Dividend received","2314f8b19d62e674ccbac431f81a1730928237a2591f1da27eb7a163f67794c2"
"2025-09-02T23:59:00Z","","Dividend","NYSE:AEM","Stock","",25,0.4,10,"","","Dividend received","39f130394c06a8950136fb49179cd8cab5c978bce8bb10180fda529944d2c7f3"
"2025-08-29T17:52:00Z",1048,"Sell","NASDAQ:TMDX","Stock","Growth",-18,115.37,-2076.66,"","","Reduce allocation","cb0b9d2b8db44f04004fbcc638f3e43868b6dc6a9a4ecd7a9c9c4a24881efff9"
"2025-08-29T17:54:00Z",1047,"Buy","NYSE:SA","Stock","Core",120,17.33,2079.6,"","","Increase allocation","1e3282059a2f1264becc7e8ce22b010c3b5953a67fa7906b55b332d93d8b2c16"
"2025-08-29T14:47:00Z",1046,"Buy","NYSE:SA","Stock","Core",150,17.1,2565,"","","New allocation","e4e2cb159e0eb7872ecb9dd2aed5ffaffcff0294df9627f7d422967dc67c79a6"
"2025-08-29T14:43:00Z",1045,"Sell","NASDAQ:TMDX","Stock","Growth",-23,114.13,-2624.99,"","","Reduce allocation","46aac8eb40b55a83b9dbbe470620fb7f60294213ee1e3b0a73cd120a6f29c5e1"
"2025-08-27T11:17:00Z",1044,"Sell","NASDAQ:QQQ","Short Stock","",-20,573.26,-11465.2,"","","Precautionary hedge against potential NDX decline","ba8d55ea4b37a0ec378ad9c82ec0b01c39967cb5cf1c5d557e54ea00d00ca56d"
"2025-08-22T12:33:00Z",1043,"Buy","NYSE:TEVA","Stock","Stability",70,18.93,1325.1,"","","Increase allocation","f6e544cf695d76937f66f57eab77b18ba24df7a03b807081662ef48810748f5c"
"2025-08-18T00:59:00Z",1066,"Dividend","NYSE:PAAS","Stock","",287,0.12,34.44,"","","Dividend received","411a60814ea73f7021386968503d939307306c71be720c560a455bb0aef69d97"
"2025-08-12T19:40:00Z",1042,"Buy","NYSE:FOUR","Stock","Growth",24,86.97,2087.2799999999997,"","","Increase allocation","60dc58301d036e24416196fd8915ee4ace75f049232210e71cd17cd1ba3b2d35"
"2025-08-12T10:06:00Z",1041,"Buy","NYSE:FOUR","Stock","Growth",12,88,1056,"","","New allocation","9f678837cc8495fa4638a742f82c42d63fcdb605f79a0680d65ab4110be6129e"
"2025-08-08T12:22:00Z",1040,"Buy","NASDAQ:APP","Stock","Growth",10,441.82,4418.2,"","","Increase allocation","dfce313807ad6dcca5a87e171378e404a8eba4ffb62a316456c6e9b9187eba10"
"2025-08-08T11:52:00Z",1039,"Buy","NASDAQ:ALAB","Stock","Growth",12,172.59,2071.08,"","","Increase allocation","d5db5eb18376fc33997c84eec5e36e046c9eb1d07c8025765fc7ecfa9a05a963"
"2025-08-07T08:40:00Z",1038,"Buy","NASDAQ:ALAB","Stock","Growth",6,175.14,1050.84,"","","New allocation","c35fa0c6d973d23a09bfd7867fde879d87c463bae458ff0f8ace59770c24cfe9"
"2025-08-06T11:22:00Z",1037,"Sell","NASDAQ:STX","Stock","Stability",-30,151.77,-4553.1,"","","Decrease allocation","cf5771e60d2597cc9c7de03246583f4030095531fcde3b8f373222cb06b97645"
"2025-08-06T10:34:00Z",1036,"Buy","NYSE:RDDT","Stock","Growth",6,197.67,1186.02,"","","New allocation","a336896dad0fdfb3a6b31ca7c51afbad8a41ab4aeba0cfdbc3d93bd86fe90f4e"
"2025-07-30T13:45:00Z",1035,"Buy","NASDAQ:STX","Stock","Stability",30,142.14,4264.2,"","","Increase allocation","515f7f57e9d47cf11a0b6d62b91689653ff57465b80529ba4d893f572175d401"
"2025-07-28T10:30:00Z",1034,"Sell","NYSE:TSM","Stock","Stability",-5,232.51,-1162.55,"Corrected","Txn#1049 Date/Time incorrect","Closing allocation","802f95a09b2f8c02c834677c66b29204a834e1a8fb5d054d9f684bbd9566c7b0"
"2025-07-28T10:30:00Z",1033,"Buy","NYSE:TSM","Stock","Stability",5,241.58,1207.9,"","","New allocation","ca1f02a905b57ad8459353b7a1f5c04dc170dc41ea3ade4a7aa46552b84fd65a"
"2025-07-24T18:36:00Z",1032,"Buy","NYSEAMERICAN:ORLA","Stock","Core",200,10.25,2050,"","","Increase allocation","b0921b8b85bdc6ad5329887d9f5bf2d27cd7802dfadc0374fa9fd1d6a70c574f"
